c1,c2,c3,c4,c5,c6,c7,c8,c9
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
